horizon_h,RMSE,MAE,Bias,n
1,81.67281792462622,26.34840748547919,0.3324606724772522,349
2,132.35754506745693,47.63856172772787,12.465982117831803,349
3,199.15822888482302,68.17279063213185,15.154248394601893,349
4,133.76851893683556,66.94263837199138,28.652824019356974,349
5,156.09854222618983,76.81675054891936,35.65236512444885,349
6,201.68727354336673,85.56182779490923,34.39551307699424,349
7,266.872360781887,100.73735380481921,25.580671361089742,349
8,280.1319301003202,110.26866225494726,27.76315222369517,349
9,234.59282850060652,105.1567035598408,40.94280513730852,349
10,249.21171990076212,113.44086762831466,44.43645538198033,349
11,285.54538105169587,124.80555055443871,43.66845169180644,349
12,307.0486803259794,131.91838328860186,48.73839747571607,349
13,311.3948772226946,132.52119818282372,57.36012149017485,349
14,330.63031497958593,136.4307346092161,57.109459121136666,349
15,332.87170950209156,144.58026186708528,60.144841714848816,349
16,339.1643993338715,146.2057950452876,56.00489551015323,349
17,324.9080234227153,143.74686725189488,60.43965820864457,349
18,338.6730795222907,144.52889397788027,61.31776245261873,349
19,368.42188097031,150.16227289947264,55.07419876914549,349
20,388.1743271600886,152.43568864929824,47.270486908830826,349
21,400.4753050561065,156.2517998276322,40.67704861722881,349
22,391.13568477180974,157.53183241418085,49.822661678685236,349
23,383.01595630348845,158.3579017847574,54.704229326074135,349
24,426.5412890320359,162.45830539561695,48.38394478855183,349
