horizon_h,RMSE,MAE,Bias,n
1,83.28455217977418,26.081774017383175,0.40364285566259106,349
2,128.88140184185127,45.98153969426393,10.7866913564885,349
3,202.31093978648724,66.33009878629264,11.622690159540777,349
4,141.24806524354045,64.12002333576626,23.20253040316685,349
5,157.7295713323088,73.83675849783668,29.708861846888116,349
6,203.12893812074333,81.35392087038564,27.597122827367528,349
7,269.0841855090166,95.72856939812847,17.927738933049476,349
8,279.68817811995257,104.18173913963093,19.922731054603798,349
9,230.57560752504264,98.5330900471587,32.97847086531204,349
10,243.19737169415953,105.42138613848779,36.749087147290744,349
11,278.4265585339457,115.73537143769802,36.22071153841389,349
12,298.95987096431304,121.60935886574556,43.295994922178316,349
13,308.2246911382678,123.82481871973806,53.65878233392395,349
14,325.0958117653876,126.25882339192134,52.523669725594544,349
15,322.94956750837537,133.14239045626036,53.78527654408692,349
16,329.7184138560646,134.7059900055046,49.487260048037264,349
17,322.65252896150383,137.12317852528005,54.97722614599858,349
18,336.9688497667391,139.18004658670344,56.44532728089025,349
19,362.5770273987669,141.9787376171344,50.42957909807751,349
20,384.91715882631934,146.2686297937001,43.17813783384383,349
21,399.3828538720023,150.9995286445165,36.99818687571547,349
22,385.12138829225034,150.89766133469368,44.569201794976195,349
23,375.28301018365426,150.68964932028277,48.05235366729682,349
24,418.8160666211752,155.39352424544396,41.78139461150835,349
